Dimension,Bucket,CorrectPredictions,TotalMatches,Accuracy
Division,15-under Upper State,9,15,60
Division,150-285,8,10,80
Division,15u,87,113,76.99115044247787
Division,15u girls,17,22,77.27272727272727
Division,15U Middle School,69,84,82.14285714285714
Division,15u rookie/novice,12,18,66.66666666666666
Division,16 & Under Boys,301,404,74.5049504950495
Division,16 & Under Girls,45,61,73.77049180327869
Division,16 U folkstyle,1,4,25
Division,16/Junior Freestyle,4,8,50
Division,160,23,25,92
Division,16U,276,368,75
Division,16U & Junior,34,37,91.8918918918919
Division,16U (Cadet),53,72,73.61111111111111
Division,16U Boys,454,650,69.84615384615384
Division,16U Boys Folkstyle,61,92,66.30434782608695
Division,16U Boys Freestyle,516,698,73.92550143266476
Division,16U Boys Greco-Roman,290,402,72.13930348258707
Division,16U F/S,42,55,76.36363636363637
Division,16U FOLKSTYLE,35,54,64.81481481481481
Division,16U Freestyle,116,158,73.41772151898735
Division,16U G/R,30,48,62.5
Division,16U Girls,83,115,72.17391304347827
Division,16U Girls F/S,1,2,50
Division,16U Girls Folkstyle,1,1,100
Division,16U Girls Freestyle,17,22,77.27272727272727
Division,16U Girls Greco-Roman,11,19,57.89473684210527
Division,"16U Greco ",20,26,76.92307692307693
Division,16U Greco-Roman,42,68,61.76470588235294
Division,16U Men,133,154,86.36363636363636
Division,16U Women,0,1,0
Division,16U-Jr. Women,2,2,100
Division,16U/JR Girls,12,16,75
Division,16U/Junior Freestyle,2,4,50
Division,16u/Junior Greco-Roman,5,14,35.714285714285715
Division,180,10,11,90.9090909090909
Division,18U,33,40,82.5
Division,1st & 2nd Grade,92,100,92
Division,1st grade-2nd grade,1,1,100
Division,2021 MS County,10,12,83.33333333333334
Division,"2023 Classic City Open ",3,7,42.857142857142854
Division,2023 SCHSL A/AA Lower State Championship,58,81,71.60493827160494
Division,207,11,13,84.61538461538461
Division,2A/1A,290,378,76.71957671957672
Division,2nd - 3rd,35,46,76.08695652173914
Division,2nd - 3rd Grade,35,38,92.10526315789474
Division,2ND-3RD,140,150,93.33333333333333
Division,2nd-4th Girls,2,3,66.66666666666666
Division,3 - 5,67,90,74.44444444444444
Division,3 - 5 Grade,2,2,100
Division,32nd Annual,2,5,40
Division,33rd Annual,14,20,70
Division,34th Annual,33,50,66
Division,35th Annual,34,51,66.66666666666666
Division,3A,249,340,73.23529411764706
Division,3rd & 4th Grade,194,212,91.50943396226415
Division,"3RD - 5TH ",44,62,70.96774193548387
Division,3rd grade-4th grade,25,36,69.44444444444444
Division,3rd-5th,23,31,74.19354838709677
Division,3rd-5th Girls,2,2,100
Division,3rd-5th Grade,23,25,92
Division,49th Annual,1,1,100
Division,4A,285,380,75
Division,4th & 5th,40,40,100
Division,4th - 5th,14,21,66.66666666666666
Division,4th - 5th Grade,4,4,100
Division,"4TH AND 5TH ",90,90,100
Division,4th and 5th Girls,6,6,100
Division,4TH-5TH,70,95,73.68421052631578
Division,4U,114,132,86.36363636363636
Division,5-7 yo,10,11,90.9090909090909
Division,50th Annual,32,56,57.14285714285714
